county,max_temp,anomaly,rank,mean,month,state,total_workers_h2a
Day,80.6,-1.7,45,82.3,July,South Dakota,19
Deuel,80.6,-1.6,46,82.2,July,South Dakota,8
Dewey,85.3,-1.7,41,87,July,South Dakota,16
Douglas,84.7,-3.7,20,88.4,July,South Dakota,24
Edmunds,81.9,-3.5,21,85.4,July,South Dakota,142
Fall River,86.4,-1.7,35,88.1,July,South Dakota,6
Faulk,82.7,-3.1,30,85.8,July,South Dakota,12
Grant,82,-1,56,83,July,South Dakota,51
Gregory,85.5,-2.6,28,88.1,July,South Dakota,19
Haakon,86.9,-1.7,41,88.6,July,South Dakota,4
Hamlin,81.2,-1.7,42,82.9,July,South Dakota,64
Hand,82.9,-3.8,25,86.7,July,South Dakota,90
Hanson,84,-3.4,22,87.4,July,South Dakota,9
Harding,85.6,0.9,71,84.7,July,South Dakota,5
Hughes,85.8,-2.8,33,88.6,July,South Dakota,68
Hutchinson,83.9,-3.8,19,87.7,July,South Dakota,8
Hyde,83.1,-3.4,26,86.5,July,South Dakota,33
Jackson,87.3,-1.9,38,89.2,July,South Dakota,2
Jerauld,83,-3.6,23,86.6,July,South Dakota,28
Jones,86.2,-3.5,25,89.7,July,South Dakota,11
Kingsbury,81.9,-2.9,32,84.8,July,South Dakota,71
Lake,81.4,-3.5,23,84.9,July,South Dakota,24
Lawrence,78.8,-1.9,34,80.7,July,South Dakota,2
Lincoln,82.1,-3.9,17,86,July,South Dakota,12
Lyman,86.3,-3,31,89.3,July,South Dakota,43
McCook,82.6,-3.7,20,86.3,July,South Dakota,3
McPherson,79.9,-4.1,16,84,July,South Dakota,37
Marshall,80.2,-2,39,82.2,July,South Dakota,34
Mellette,86.8,-2.9,28,89.7,July,South Dakota,4
Minnehaha,81.4,-3.7,18,85.1,July,South Dakota,41
Pennington,83.9,-1.5,43,85.4,July,South Dakota,13
Perkins,84.4,-1,47,85.4,July,South Dakota,57
Potter,82.3,-3.9,20,86.2,July,South Dakota,68
Roberts,81.4,-1.6,47,83,July,South Dakota,17
Sanborn,84.1,-3.4,25,87.5,July,South Dakota,22
Spink,83.8,-2.3,39,86.1,July,South Dakota,39
Stanley,86.7,-2.3,36,89,July,South Dakota,18
Sully,84.1,-3.6,26,87.7,July,South Dakota,62
Todd,84.8,-3.1,24,87.9,July,South Dakota,8
Tripp,86.6,-2.2,34,88.8,July,South Dakota,55
Union,83.4,-3.5,18,86.9,July,South Dakota,10
Walworth,81.9,-3.6,20,85.5,July,South Dakota,14
Yankton,83.6,-3.8,20,87.4,July,South Dakota,16
Ziebach,86.2,-1,52,87.2,July,South Dakota,7
Campbell,84.5,-0.1,58,84.6,July,South Dakota,11
Lincoln,81.2,4.2,118,77,July,South Dakota,12
Douglas,81.2,1.1,80,80.1,August,South Dakota,24
Jackson,73.3,2.3,104,71,August,South Dakota,2
Lake,68.6,3.6,125,65,August,South Dakota,24
Lincoln,89.1,3.1,110,86,August,South Dakota,12
Lake,80.6,2.9,95,77.7,August,South Dakota,24
Lincoln,78.9,3.8,105,75.1,August,South Dakota,12
Grant,81.6,-1.4,49,83,August,South Dakota,51
Aurora,86.3,1.2,84,85.1,August,South Dakota,15
Beadle,85.6,0.9,85,84.7,August,South Dakota,80
Bennett,85.6,0.3,65,85.3,August,South Dakota,7
Bon Homme,86.1,0.6,81,85.5,August,South Dakota,9
Brookings,82.8,1.7,101,81.1,August,South Dakota,135
Brown,82.1,-0.5,56,82.6,August,South Dakota,80
Brule,86.8,0.9,80,85.9,August,South Dakota,18
Campbell,80.2,-3.5,26,83.7,August,South Dakota,11
Charles Mix,87.3,0.9,80,86.4,August,South Dakota,154
Clark,83.1,1.5,94,81.6,August,South Dakota,18
Clay,85.7,1,89,84.7,August,South Dakota,1
Codington,82,1.7,95,80.3,August,South Dakota,10
Corson,82.7,-1.5,47,84.2,August,South Dakota,63
Davison,86.5,1.2,87,85.3,August,South Dakota,45
Day,80.9,0.4,80,80.5,August,South Dakota,19
Deuel,82.3,2.4,104,79.9,August,South Dakota,8
Dewey,83.8,-1.5,49,85.3,August,South Dakota,16
Douglas,86.7,0.9,86,85.8,August,South Dakota,24
Edmunds,81.6,-1.9,44,83.5,August,South Dakota,142
Fall River,86.5,-0.3,55,86.8,August,South Dakota,6
Faulk,82.5,-1.1,50,83.6,August,South Dakota,12
Grant,82.6,1.6,97,81,August,South Dakota,51
Gregory,87.2,1.5,86,85.7,August,South Dakota,19
Haakon,86.2,-0.7,55,86.9,August,South Dakota,4
Hamlin,83.1,2.4,103,80.7,August,South Dakota,64
Hand,83.7,-1,55,84.7,August,South Dakota,90
